Chinese,English
一,one
在,exist
有,have
个,indivual
我,I
不,No
这,this
他,he
也,also
就,At once
人,people
都,All
说,explain
而,and
们,People
你,you
了,Be
要,want
会,meeting
对,right
及,and
和,and
与,and
以,by
很,very
种,kind
的,of
大,big
能,able
着,Be
她,she
那,That
上,superior
但,but
年,Year
还,return
可以,Can
最,most
自己,Own
为,for
来,Come
所,Place
他们,them
两,two
各,each
可,Can
为,for
或,or
好,good
等,wait
又,again
将,Will
因为,because
于,At
由,Depend on
从,from
更,Even
被,quilt
才,talent
已,already
者,By
每,Every
次,Second-rate
把,Bundle
三,three
什么,What
问题,question
其,That
让,let
此,this
做,Do
再,Again
所以,so
只,Only
则,but
台湾,Taiwan
却,but
并,and
位,Position
想,think
去,go
呢,Woolen cloth
学生,student
表示,express
到,arrive
公司,company
将,Will
如果,if
社会,society
看,look
小,Small
天,sky
因此,therefore
新,new
但是,but
它,it
中,middle
使,make
工作,Work
全,Complete
觉得,feel
使用,use
这些,These
里,inside
并,and
由于,because
时候,when
知道,Know
这样,so
一,one
认为,think
时间,time
事,thing
过,Pass
向,Towards
可能,possible
中国,China
美国,USA
到,arrive
和,and
几,Several
系统,system
政府,government
大家,Everyone
国家,nation
许多,many
生活,Life
跟,and
已经,already
大学,University
研究,Research
因,because
本,Book
二,two
活动,Activity
该,Should
世界,world
应,answer
四,Four
希望,hope
方式,Way
内,Inside
项,item
啊,ah
下,Down
环境,environment
一些,Some
必须,must
文化,culture
高,high
孩子,child
没有,No
不能,cannot
如,like
开始,start
元,Yuan
不同,different
仍,still
网路,network
日本,Japan
用,use
中心,center
来,Come
对,right
虽然,Although
重要,important
地方,place
进行,conduct
关系,relation
市场,market
太,too
老师,teacher
提供,supply
学校,School
应该,should
指出,Point out
经济,economy
其他,other
家,Home
发展,develop
教育,educate
成为,become
多,many
非常,Very
便,Be
方面,aspect
很多,a lot of
吃,eat
然后,Then
未,not yet
发现,Discover
电脑,computer
一样,Same
而且,and
心,Heart
不过,but
无法,Unable to
企业,enterprise
正,just
服务,Serve
较,Compare
不会,Won't
台湾,Taiwan
曾,ever
吗,?
空间,space
看到,See
五,five
如何,how
国内,domestic
们,People
无,none
对于,for
以及,as well as
之后,after
可是,But
当,when
人员,personnel
比,Compare
先,First
产品,product
资讯,Information
资料,material
比较,Compare
先生,gentlemen
地,land
除了,Apart from
大陆,mainland
需要,need
像,picture
在,exist
给,Give
岁,age
请,please
月,moon
些,some
名,name
另,Other
若,like
亦,as well as
地区,area
技术,technology
至,to
特别,special
其实,actually
国际,internationality
不要,don't want
发生,occur
参加,join
一定,must
其中,in
问,ask
台北,Taipei
包括,include
讲,speak
造成,cause
看,look
像,picture
常,often
即,Right now
喜欢,like
去,go
没,without
出现,Appear
政治,politics
话,talk
走,Walk
单位,unit
一直,Always
吧,Bar
是否,whether
当然,certainly
整,all
处理,deal with
历史,history
了解,learn
那,That
怎么,how
机会,Chance
家,Home
听,listen
所有,all
只要,if only
朋友,friend
令,make
甚至,even
用,use
真,real
六,six
呀,ah
情况,Condition
还是,still
钱,money
方法,method
点,point
任何,any
经验,experience
艺术,Art
你们,you
十,ten
